
,HOME,AWAY,H_GOALS,A_GOALS
0,Equatorial Guinea,Sao Tome and Principe,2,0
1,FC Unirea Alba Iulia,Universitatea Alba Iulia,1,0
2,AFC Odorheiu Secuiesc,ACS SR Municipal Brasov,1,0
3,Sanatatea Cluj,Sc Olimpia Mcmxxi Satu Mare,4,1
4,CS Blejoi,Csl Stefanestii de Jos,2,4
5,Csc Peciu Nou,CSM Avantul Periam,2,0
6,ZKS Unia Tarnow,MKS Podlasie Biala Podlaska,1,4
7,Acso Filiasi,Unirea Bascov,2,1
8,Maccabi Herzliya,Hapoel Ramat Gan Givatayim FC,1,1
9,Hapoel Umm AL Fahm,Bnei Yehuda Tel Aviv FC,1,0
10,Hapoel Nof Hagalil FC,Hapoel Petah Tikva FC,0,1
0,Botswana,Algeria,1,3
1,FC Unirea Dej,CS Metalurgistul Cugir,0,1
2,Csm Ramnicu Sarat,AFC 1919 Dacia Unirea Braila,3,1
3,Birmingham City U21,Peterborough United U21,0,0
4,Hapoel Tel Aviv FC,Hapoel Afula FC,1,0
5,Iceland U21,Hungary U21,3,0
6,Thailand,Afghanistan,2,0
7,Maccabi Herzliya,Hapoel Ramat Gan Givatayim FC,1,1
8,Hapoel Umm AL Fahm,Bnei Yehuda Tel Aviv FC,1,0
0,MSK Zilina B,MSK Puchov,3,2
1,KS Gornik Polkowice,MKS Polonia Slubice,1,0
2,FC Ebolowa,Cyclone FC,3,0
3,Vasas Kubala Academy U19,UTE Labdarugo Akademia U19,4,2
0,NK Sesvete,NK BSK Bijelo Brdo,0,1
1,NK Kustosija Zagreb,NK Radnik Krizevci,1,3
0,LD Alajuelense U21,Sporting FC U21,2,0
0,South Africa,Lesotho,2,0
0,Team Rhino,Gambia Armed Forces,0,1
1,Steve Biko FC,Brikama United,0,2
0,FC Hlucin,TJ Unie Hlubina,0,1
1,Tigres FC U19,Atletico Real Boyaca U19,0,0
0,Precision FC,D-Gardens United,2,3
0,TSV St. Johann,FC Kitzbuhel,2,1
1,ASV Siegendorf,Favoritner AC,0,0
2,Boldklubben 1908,Horsholm-Usserod IK,0,2
3,Saint-Colomban Locmine,Les Herbiers,0,1
0,Dijon FCO,Valenciennes FC,2,1
0,Colchester United U21,Ipswich Town U21,1,2
1,AD San Juan Pamplona,Pena Sport FC,1,0
2,Scotland U21,Ireland U21 (n),2,0
0,Burgos CF,UD Almeria,3,1
1,Raya Sporting FC,El Dakhleya SC,1,1
2,Caerau Ely,Goytre United,1,1
3,Merida AD,Yeclano Deportivo,1,0
0,Andorra,Latvia,0,1
1,Malta,Finland,0,1
2,England,Albania,2,0
3,Newtown AFC,Connah's Quay Nomads FC,2,3
4,Flint Mountain,Airbus UK,1,2
5,Haverfordwest County,Penybont FC,1,2
6,Newtown AFC,Connah's Quay Nomads F.C.,2,3
7,Partick Thistle FC,Raith Rovers FC,0,0
8,Partick Thistle,Raith Rovers,0,0
0,France U21,England U21,5,3
1,IH Hafnarfjordur,Grotta,1,6
0,Ethiopia,Egypt (n),0,2
1,Ecuador,Venezuela,2,0
2,Tevi Cocle FC,Deportivo Chiriqui,0,1
0,Niger,Morocco (n),1,2
0,San Francisco Reserves,Herrera FC U20,0,1
0,Veraguas United FC,Potros del Este,1,0
0,Tauranga City United AFC,West Coast Rangers,4,2
1,Bay Olympic,Eastern Suburbs Auckland AFC,2,1
0,Club Tijuana Women,Mazatlán FC Women,0,1
0,YSCC Yokohama,Criacao Shinjuku,0,2
1,Okinawa SV,Atletico Suzuka Club,2,1
0,Stirling Macedonia FC U23,Perth Glory FC U23,3,4
1,Cerezo Osaka Sakai Ladies,Chifure AS Elfen Saitama,0,0
2,Kanagawa Sagamihara,Mynavi Sendai Ladies,2,0
3,Canberra United FC,Sydney FC,0,1
4,Siheung Citizen FC,Seongnam Ilhwa,2,2
5,Auckland United,Birkenhead United,2,3
6,Gangneung Citizen FC,Chungnam Asan FC,1,0
7,FC Sejong,Jeonnam Dragons,3,1
8,Changwon City FC,Namyangju Citizen,1,1
9,Daejeon Korail FC,Chungbuk Cheongju FC,1,0
0,Siheung Citizen FC,Seongnam Ilhwa,2,2
1,Changwon City FC,Namyangju Citizen,1,1
0,Siheung Citizen FC,Seongnam Ilhwa,2,2
1,Changwon City FC,Namyangju Citizen,1,1
0,Mitchelton FC U23,North Star U23,2,0
